=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.10.29 13:47:14 =~=~=~=~=~=~=~=~=~=~=~=
Sensor 1: 15.88 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 15.81 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 15.81 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 15.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.25 °C
Sensor 1: 15.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.25 °C
Sensor 1: 15.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 15.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.19 °C
Sensor 1: 15.63 °C	Sensor 2: 23.94 °C	Sensor 3: 29.25 °C
Sensor 1: 15.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.25 °C
Sensor 1: 15.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.25 °C
Sensor 1: 15.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 15.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.25 °C
Sensor 1: 15.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.25 °C
Sensor 1: 15.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.25 °C
Sensor 1: 15.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 15.38 °C	Sensor 2: 23.94 °C	Sensor 3: 29.31 °C
Sensor 1: 15.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 15.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 15.31 °C	Sensor 2: 23.94 °C	Sensor 3: 29.31 °C
Sensor 1: 15.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 15.25 °C	Sensor 2: 23.94 °C	Sensor 3: 29.31 °C
Sensor 1: 15.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 15.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 15.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 15.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 15.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 15.06 °C	Sensor 2: 23.94 °C	Sensor 3: 29.31 °C
Sensor 1: 15.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 15.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 15.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.88 °C	Sensor 2: 23.87 °C	Sensor 3: 29.31 °C
Sensor 1: 14.88 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.81 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.81 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.81 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.75 °C	Sensor 2: 23.94 °C	Sensor 3: 29.37 °C
Sensor 1: 14.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
